station,lines,latitude,longitude,am_entries,am_exits,pm_entries,pm_exits,am_flow,pm_flow
LEXINGTON AVE,NQR456,40.762796,-73.967686,23563,32922,65973,25914,out,in
5 AVE-59 ST,NQR,40.764909,-73.973372,5157,32255,96107,30303,out,in
57 ST-7 AVE,NQR,40.764755,-73.980646,31143,56770,117490,45238,out,in
49 ST-7 AVE,NQR,40.760139,-73.984112,24209,59683,97866,56242,out,in
42 ST-TIMES SQ,ACENQRS1237,40.755905,-73.986504,13624,51442,49304,53128,out,out
34 ST-HERALD SQ,BDFMNQR,40.749533,-73.987899,169771,280610,480682,367417,out,in
28 ST-BROADWAY,NR,40.745574,-73.988682,14658,39867,53567,42925,out,in
23 ST-5 AVE,NR,40.741006,-73.989315,24113,42772,103975,36120,out,in
14 ST-UNION SQ,LNQR456,40.734836,-73.990688,36160,73389,302059,197436,out,in
8 ST-B'WAY NYU,NR,40.730348,-73.992705,23836,23325,58628,43085,in,in
PRINCE ST-B'WAY,NR,40.724332,-73.997684,11633,38049,76997,62799,out,in
CANAL ST,JNQRZ6,40.718697,-74.000977,17792,37789,212898,98521,out,in
CITY HALL,R,40.713086,-74.007232,5484,9043,27790,6751,out,in
CORTLANDT ST,R,40.710662,-74.011052,3291,10618,43849,20069,out,in
RECTOR ST,R,40.707222,-74.013391,9004,8908,28068,5399,in,in
WHITEHALL ST,R1,40.703082,-74.012983,13624,22944,68483,40163,out,in
ESSEX ST,FJMZ,40.71838,-73.987813,14486,8568,26148,17857,in,in
BOWERY,JZ,40.720315,-73.994014,3810,7527,12600,9952,out,in
CHAMBERS ST,JZ456,40.713159,-74.003917,14454,41158,44586,37503,out,in
FULTON ST,ACJZ2345,40.709938,-74.007983,18971,40785,135601,33256,out,in
BROAD ST,JZ,40.706539,-74.011052,1824,5618,29964,2832,out,in
7 AVE,BQ,40.677172,-73.972514,16567,5619,22375,34058,in,out
PARK PLACE,S,40.67491,-73.957794,3141,2321,5200,6855,in,out
BOTANIC GARDEN,S2345,40.670499,-73.958759,1702,1881,4746,7158,out,out
PROSPECT PARK,BQS,40.661596,-73.962193,31980,10854,27138,34801,in,out
PARKSIDE AVE,BQ,40.655053,-73.961227,11686,2940,12803,13907,in,out
CHURCH AVE,BQ,40.650494,-73.962836,55922,17677,43213,66530,in,out
BEVERLEY ROAD,BQ,40.643982,-73.96451,10108,1968,6127,8264,in,out
CORTELYOU ROAD,BQ,40.640905,-73.963866,21677,3271,13494,8025,in,in
NEWKIRK PLAZA,BQ,40.635059,-73.962793,23803,7112,23546,40541,in,out
AVE H,BQ,40.629164,-73.961678,8758,2382,6292,6801,in,out
AVE J,BQ,40.625028,-73.960819,17028,4708,15000,10449,in,in
AVE M,BQ,40.617568,-73.95936,16535,5544,13563,7544,in,in
KINGS HIGHWAY,BQ,40.608691,-73.957772,62111,17742,47054,53896,in,out
AVE U,BQ,40.599307,-73.955916,12919,1473,15293,9993,in,in
NECK ROAD,BQ,40.595234,-73.95509,16588,722,8102,4423,in,in
SHEEPSHEAD BAY,BQ,40.58681,-73.954167,33503,9741,29635,48104,in,out
BRIGHTON BEACH,BQ,40.577961,-73.961806,32712,15161,40301,33660,in,in
OCEAN PARKWAY,Q,40.576298,-73.968523,9523,3646,9576,7475,in,in
BOROUGH HALL/CT,R2345,40.692404,-73.990151,4588,3525,7424,5928,in,in
JAY ST-METROTEC,R,40.692182,-73.985935,3476,6205,13094,5048,out,in
DEKALB AVE,BDNQR,40.690612,-73.981848,38396,18803,53601,23315,in,in
BARCLAYS CENTER,BDNQR2345,40.684063,-73.977417,38612,36406,66731,78693,in,out
UNION ST,R,40.677302,-73.983135,17860,8123,15674,15745,in,out
9 ST,DFGMNR,40.67032,-73.988757,24849,12689,25558,21110,in,in
PROSPECT AVE,R,40.665438,-73.992856,17125,8165,14199,13713,in,in
25 ST,R,40.660481,-73.998059,10816,5964,10439,8885,in,in
36 ST,DNR,40.65515,-74.003477,21028,11924,41486,29725,in,in
45 ST,R,40.648866,-74.010086,22747,5825,18449,14484,in,in
53 ST,R,40.644959,-74.014034,22263,5000,19092,9892,in,in
59 ST,NR,40.641426,-74.017972,38693,11623,35380,25129,in,in
BAY RIDGE AVE,R,40.634945,-74.023411,28551,3452,17292,12938,in,in
77 ST,R,40.629702,-74.025514,20695,3280,10762,11567,in,out
86 ST,R,40.622715,-74.028368,37558,9459,28306,26824,in,in
BAY RIDGE-95 ST,R,40.616624,-74.030964,22027,4714,12682,13148,in,out
8 AVE,N,40.635011,-74.011717,13830,9757,35999,39419,in,out
FT HAMILTON PKY,N,40.631428,-74.005387,16749,2452,14044,12465,in,in
