C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/12/2015,00:00:00,REGULAR,0000000042,0000000049                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/12/2015,04:00:00,REGULAR,0000000042,0000000049                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/12/2015,08:00:00,REGULAR,0000000042,0000000049                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/12/2015,12:00:00,REGULAR,0000000042,0000000052                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/12/2015,16:00:00,REGULAR,0000000042,0000000053                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/12/2015,20:00:00,REGULAR,0000000042,0000000056                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/13/2015,00:00:00,REGULAR,0000000042,0000000057                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/13/2015,04:00:00,REGULAR,0000000042,0000000071                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/13/2015,08:00:00,REGULAR,0000000043,0000000074                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/13/2015,12:00:00,REGULAR,0000000056,0000000079                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/13/2015,16:00:00,REGULAR,0000000136,0000000326                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/13/2015,20:00:00,REGULAR,0000000175,0000000447                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,00:00:00,REGULAR,0000000191,0000000465                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,04:00:00,REGULAR,0000000192,0000000469                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,08:00:00,REGULAR,0000000194,0000000478                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,12:00:00,REGULAR,0000000208,0000000538                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,12:52:19,REGULAR,0000000216,0000000557                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,12:54:10,REGULAR,0000000216,0000000557                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,16:00:00,REGULAR,0000000250,0000000664                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/14/2015,20:00:00,REGULAR,0000000290,0000000713                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/15/2015,00:00:00,REGULAR,0000000300,0000000721                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/15/2015,04:00:00,REGULAR,0000000301,0000000728                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/15/2015,08:00:00,REGULAR,0000000303,0000000734                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/15/2015,12:00:00,REGULAR,0000000314,0000000776                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/15/2015,16:00:00,REGULAR,0000000363,0000000847                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/15/2015,20:00:00,REGULAR,0000000406,0000000908                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/16/2015,00:00:00,REGULAR,0000000413,0000000919                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/16/2015,04:00:00,REGULAR,0000000414,0000000923                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/16/2015,08:00:00,REGULAR,0000000418,0000000927                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/16/2015,12:00:00,REGULAR,0000000424,0000000975                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/16/2015,16:00:00,REGULAR,0000000443,0000001015                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/16/2015,20:00:00,REGULAR,0000000467,0000001051                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/17/2015,00:00:00,REGULAR,0000000471,0000001063                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/17/2015,04:00:00,REGULAR,0000000472,0000001066                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/17/2015,08:00:00,REGULAR,0000000474,0000001079                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/17/2015,12:00:00,REGULAR,0000000482,0000001105                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/17/2015,16:00:00,REGULAR,0000000489,0000001121                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/17/2015,20:00:00,REGULAR,0000000501,0000001165                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,00:00:00,REGULAR,0000000505,0000001171                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,04:00:00,REGULAR,0000000505,0000001178                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,08:00:00,REGULAR,0000000506,0000001187                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,08:20:55,REGULAR,0000000506,0000001189                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,08:23:48,REGULAR,0000000506,0000001189                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,10:00:02,REGULAR,0000000507,0000001198                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,12:00:00,REGULAR,0000000507,0000001220                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,16:00:00,REGULAR,0000000516,0000001259                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,20:00:00,REGULAR,0000000544,0000001298                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,00:00:00,REGULAR,0000000015,0000000052                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,04:00:00,REGULAR,0000000015,0000000052                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,08:00:00,REGULAR,0000000015,0000000052                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,12:00:00,REGULAR,0000000015,0000000057                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,16:00:00,REGULAR,0000000015,0000000057                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,20:00:00,REGULAR,0000000015,0000000059                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,00:00:00,REGULAR,0000000016,0000000062                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,04:00:00,REGULAR,0000000016,0000000070                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,08:00:00,REGULAR,0000000016,0000000077                                        
